input	gold
ごむさたしてます	ご無沙汰してます
おげんきでしょーか	お元気でしょうか
わだひろひで	和田博英
ちょうしどう	調子どう
もうなれた	もう慣れた
ぼくはいどうがきまりました	僕は異動が決まりました
やめるいしをつたえたらとうれふっきいたりあいきとなりかけたのですがよしやまさんからしごとのやりかたがなあとらんからすぐにちゅうざいにはさせないと	辞める意思を伝えたら東レ復帰イタリア行きとなりかけたのですが吉山さんから仕事のやり方がなっとらんからすぐに駐在にはさせないと
えーぎせきでしゅっちょうべーすでしごとをしてしようきかんをもうけるとさ	A技籍で出張ベースで仕事をして試用期間を設けるとさ
らいげつなかばからいたりあにいちかげついってきます	来月半ばからイタリアに1ヶ月行ってきます
こちらはようやくしごとしてるかんじになってきました	こちらはようやく仕事してる感じになってきました
いたりあですか	イタリアですか
よいですね	いいですね
またいわさわさんがもちべーしょんをとりもどしたならうれしいことです	また岩澤さんがモチベーションを取り戻したならうれしいことです
ありがとうございます	ありがとうございます
がんばります	頑張ります
いまとうきょうなのですか	今東京なんですか
おげんきですか	お元気ですか
げんきですよ	元気ですよ
どいつしゅっちょういってかぜひーてかえりのひこうきでみみがおかしくなりいまだにひきずってますけれど	ドイツ出張行って風邪ひいて帰りの飛行機で耳がおかしくなりいまだに引きずってますけど
おねがいがあるのですがかいしゃのめーるけんさくしてほしい	お願いがあるんですが会社のメール検索してほしい
いまみらのにむけていどうちゅうなのでほてるついてからでもよいですか	今ミラノに向けて移動中なのでホテル着いてからでもいいですか
たかあら	たかあら
あっではよいです	あではいいです
にっぽんのどうりょうにおねがいしてもだれもはんのうしないのでかいてんしているいわさわそれにきーてみました	日本の同僚にお願いしても誰も反応しないので開店している岩澤そんに聞いてみました
かいしゃけいたいをわすれて	会社携帯をわすれて
たかあら	高荒
けいたいからけんさくできるのかな	携帯から検索できるのかな
できるはず	できるはず
やってみるけれどきたいしないて	やってみるけど期待しないで
みつかったけれどどうすればよい	見つかったけどどうすれば良い
かいしゃあどれすにめーるでおくる	会社アドレスにメールで送る
ここにかいてもらえますか	ここに書いてもらえますか
なまえのあとのにもじだけでも	名前の後の2文字だけでも
あどれすででてこないのはどうすればよいのかな	アドレスで出てこないのはどうすれば良いのかな
んーめるあどをどこかにこぴぺしたらでないですかね	んーメアドをどこかにコピペしたら出ないですかね
こぴーができなくてくろうしてる	コピーができなくて苦労してる
べつのひとからわかりました	別の人からわかりました
おさわがせしました	お騒がせしました
まずおおいさん	まず大井さん
みえる	見える
たかあらさん	高荒さん
おおいさんがしーにでたかあらさんがあいぜろだね	大井さんがc2で高荒さんがi0だね
ありがとうございます	ありがとうございます
だいじょうぶですか	大丈夫ですか
これで	これで
おやくにたてたらこうえいです	お役に立てたら光栄です
たすかりました	助かりました
よかったです	良かったです
よふかししすぎてだめよ	夜更かししすぎちゃダメよ
よんがつからみつこしまえにいます	4月から三越前にいます
きこくしたらごはんたべにいきましょー	帰国したらご飯食べに行きましょう
あらじれいでてた	あら辞令出てた
れんらくしますね	連絡しますね
あといちしゅうかんくらいでしゅっこくではなかった	あと1週間くらいで出国ではなかった
いちはちにちのよるにしゅっこくします	18日の夜に出国します
もうこない	もう来ない
ちゅうはんかよるめしでもとおもって	昼飯か夜飯でもと思って
いちさんにちのきんようひおひるごはんいかがですか	13日の金曜日お昼ご飯いかがですか
おーけーです	okです
おひるころうかがいます	お昼頃伺います
ちょっとはやめ	ちょっと早め
かな	かな
だいじょうぶ	大丈夫
はやめにでましょー	早めに出ましょう
いちいちよんごとか	1145とか
はい	はーい
ごめんちょっとよていよりおそくなった	ごめんちょっと予定より遅くなった
みつこしまえにいちいちじよんよんふんちゃくになるとおもう	三越前に11時44分着になると思う
せんびきやのまえでおちあうでよい	千疋屋の前で落ち合うでいい
おけ	おけ
ついたべんちにすわってる	着いたベンチに座ってる
なつかしいですね	なつかしいですね
ありがとうございます	ありがとうございます
なつかしかった	懐かしかった
みたことあるひとがつなわたりしてる	見たことある人が綱渡りしてる
とおもっておもわずしゃしんとっておくっちゃった	と思って思わず写真撮って送っちゃった
ぶるくはのぼりましたか	ブルグは登りましたか
なにそれ	何それ
ごはんたべにいっただけなのでひろばでわいんまつりをやってるおみせでごはんをたべてすぐにたいさんしただけです	ご飯食べに行っただけなので広場でワイン祭りをやってるお店でご飯を食べてすぐに退散しただけです
おしろ	お城
ひろばのさらにおく	広場のさらに奥
いってないです	行ってないです
えすりんげんのまちなみがいちぼうなのでじかいぜひ	エスリンゲンの街並みが一望なので次回ぜひ
はい	はーい
ゆうじんがやっとばんだいんですまでよんておどろいてくれたのできもちよいです	友人がやっとヴァンダインですまで読んで驚いてくれたので気持ちいいです
さんわみました	3話みました
せっとでじっかくかんかふぇをかいさいするらしいです	セットで十角館かふぇを開催するらしいです
ちゅうせんでどくいりこーひーがあたる	抽選で毒入りコーヒーが当たる
いやどくいりこーひーにあたる	いや毒入りコーヒーに当たる
うそです	ウソです
やかたしりーずはほんかくみすてりーふぁんでほんきでたたかいにいどんたひとほどしょっくがおおきい	館シリーズは本格ミステリファンで本気で戦いに挑んだ人ほどショックが大きい
おーですが	おですが
ふんわりぼちぼちよんてるひとはねたばれごあれ	ふんわりボチボチ読んでる人はネタバレ後あれ
ろくにんだったけ	6人だったっけ
よみとばした	読み飛ばした
あれ	あれ
ふからんー	ふ～ん
とおどろきをじぶんのきおくりょくのせいにしてしまう	と驚きを自分の記憶力のせいにしてしまう
だめですよさかもとさんはなにもおぼえてないのですからねたばれは	ダメですよ坂本さんは何も覚えてないんですからネタバレは
なにも	何も
にぜろねんいやにごねんまえとかですよよんたの	20年いや25年前とかですよ読んだの
えー	えー
こてんじゃないですかこのほん	古典じゃないですかこの本
そしてだれもなくなったのらすとわすれます	そして誰もなくなったのラスト忘れます
えー	えー
ぼくがはんにんおぼえてるのはほーむずくらいです	僕が犯人覚えてるのはホームズくらいです
いーたいことはいっぱいありますがなにかいってもねたばれなのでやめときます	言いたいことはいっぱいありますが何か言ってもネタバレなのでやめときます
だからどようひまでにみてしまわないとまずいことになるとおもってまいにちみてます	だから土曜日までに見てしまわないとまずいことになると思って毎日見てます
わらい	笑
もうかたりつくしましたけれどね	もう語り尽くしましたけどね
みてみずふりしてます	見て見ぬ振りしてます
いえいえみすてりーともだちともりあがりつくしました	いえいえミステリ友達と盛り上がり尽くしました
でもさかもとさんとのだいじなきょうつうのねたなのでぜひみおわってください	でも坂本さんとの大事な共通のネタなので是非身終わってください
そうですよ	そうですよ
まあいちかいみたひととろくしゅうめのひとのさはおおきいですが	まあ１回見た人と６周目の人のさは大きいですが
なまわざさんぶのしのだがでんきょくのぎじゅつにいくとじょうほうが	生技３部の篠田が電極の技術に行くと情報が
かわいそう	かわいそう
あらじょうほうはやいですこと	あら情報早いですこと
あっそうだった	あそうだった
どようはおひるごはんをどこかでたべてからきんてつでよしのへいきたいなとおもっています	土曜はお昼ご飯をどこかで食べてから近鉄で吉野へ行きたいなと思っています
えんそくです	遠足です
よしののさくらいきました	吉野の桜行きました
よんれいねんくらいまえに	４０年くらい前に
おおわらい	おお笑
ならしゅうごうですかね	奈良集合ですかね
それをさがしちゅう	それを探し中
ならであることはまちがいない	奈良であることは間違いない
きんてつなら	近鉄奈良
きたすぎない	北すぎない
ぼくはよいけれど	僕はいいけど
