input	gold
これはうれしいごさんです	これは嬉しい誤算です
これはだめだというし	これはだめだと言うし
これはだめだとおもうから	これはだめだと思うから
きごころのしれたなかなので	気心のしれた中なので
かいごはほんとうにたいへんです	介護は本当に大変です
かいごはほんとうにたいへんです	介護は本当に大変です
でこめをおくったら	デコメを送ったら
さとるくんにたのみましょう	悟くんに頼みましょう
そのことからもわかるように	そのことからもわかるように
にほんちーむのえんぎはこのあとすぐです	日本チームの演技はこのあと直ぐです
ぼーりんぐじょうのちかくです	ボーリング場の近くです
しょっぱいあじがした	しょっぱい味がした
とんでもないやつがあらわれた	とんでもないやつが現れた
さるのなきごえがすごい	猿の鳴き声がすごい
ひまわりがさいている	ひまわりが咲いている
いがもたれる	いが持たれる
どんなふうにやったのか	どんなふうにやったのか
でびあんをつかっています	デビアンを使っています
たたかいにかつには	戦いに勝つには
ぶいぶいいわしている	ブイブイいわしている
せっかくのおさそいをむげにはできない	せっかくのお誘いを無下にはできない
こんなときこそおちつかないと	こんなときこそ落ち着かないと
そういうわけだったのか	そういうわけだったのか
じろっとにらみつけた	ジロっと睨みつけた
このひぼくらはきんじょにいった	この日僕らは近所に行った
こっちにこい	こっちに来い
かみわざとしかいいようがない	神業としか言いようがない
しかってほしいときもある	叱ってほしいときもある
しかられてないている	叱られて泣いている
あれたしょうがっこうだ	荒れた小学校だ
もどかしいおもいです	もどかしい思いです
どんかんなのできづいてないようだ	鈍感なので気づいてないようだ
おばあちゃんのはなしはいつもながい	おばあちゃんの話はいつも長い
えんこーどってそんなにむつかしいか	エンコードってそんなに難しいか
とうぜんそのようなこともそうていしています	当然そのようなことも想定しています
はやめにごはんをたいておいた	早めにご飯を炊いておいた
はやめにごはんをたいておいた	早めにご飯を炊いておいた
こづくりがさかんなきせつです	子作りが盛んな季節です
あけましておめでとうございます	あけましておめでとうございます
よみにくいじをかくのでこまっている	読みにくい字を書くので困っている
ひとごみにながされてかわっていく	人混みに流されて変わっていく
ぼうせんいっぽうになっている	防戦一方になっている
ありのすのようにのびている	アリの巣のように伸びている
ふめんをよめないのがじゃくてんです	譜面を読めないのが弱点です
